Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
"25-Mar-2025","EQ","7.40","7.43","7.05","7.34","7.14","7.15","7.18","19.18","6.61","47,52,24,766","3,41,38,95,674.72","1,56,790"
"24-Mar-2025","EQ","7.72","7.74","7.29","7.62","7.33","7.34","7.49","19.18","6.61","50,82,82,460","3,80,62,30,921.73","1,89,206"
"21-Mar-2025","EQ","7.28","7.68","7.24","7.26","7.63","7.62","7.54","19.18","6.61","71,89,41,405","5,41,79,87,101.66","1,49,389"
"20-Mar-2025","EQ","7.55","7.59","7.17","7.44","7.28","7.26","7.32","19.18","6.61","47,50,38,187","3,47,71,31,055.91","1,48,018"
"19-Mar-2025","EQ","7.25","7.72","7.21","7.10","7.46","7.44","7.46","19.18","6.61","68,18,62,635","5,08,41,69,825.56","1,81,980"
"18-Mar-2025","EQ","6.96","7.16","6.96","6.94","7.13","7.10","7.04","19.18","6.61","30,20,64,427","2,12,76,51,962.95","1,02,844"
"17-Mar-2025","EQ","7.00","7.08","6.92","6.95","6.94","6.94","6.99","19.18","6.61","31,51,52,685","2,20,26,23,848.87","1,21,102"
"13-Mar-2025","EQ","7.11","7.17","6.93","7.07","6.98","6.95","7.04","19.18","6.61","40,86,90,029","2,87,92,08,849.52","1,27,053"
"12-Mar-2025","EQ","7.32","7.36","6.87","7.34","7.10","7.07","7.04","19.18","6.61","53,93,72,093","3,79,46,40,002.17","1,87,132"
"11-Mar-2025","EQ","7.20","7.41","7.11","7.26","7.37","7.34","7.26","19.18","6.61","33,42,77,339","2,42,83,24,526.38","1,32,264"
"10-Mar-2025","EQ","7.58","7.64","7.22","7.55","7.26","7.26","7.44","19.18","6.61","43,88,83,802","3,26,62,11,390.95","1,39,587"
"07-Mar-2025","EQ","7.71","7.78","7.51","7.73","7.58","7.55","7.62","19.18","6.61","32,41,03,970","2,47,05,61,865.48","1,57,885"
"06-Mar-2025","EQ","8.00","8.04","7.70","7.86","7.71","7.73","7.83","19.18","6.61","29,43,04,361","2,30,30,52,057.92","1,27,584"
"05-Mar-2025","EQ","7.43","7.92","7.43","7.43","7.88","7.86","7.73","19.18","6.61","38,12,13,101","2,94,63,72,656.23","1,45,341"
"04-Mar-2025","EQ","7.39","7.64","7.29","7.46","7.42","7.43","7.46","19.18","6.61","34,52,91,615","2,57,66,84,483.81","1,37,668"
